ip,round,value
10.42.0.116,8287,12.315270439986305
10.42.0.116,8374,10.230665735654703
10.42.0.116,8465,10.92592986846317
10.42.0.116,8553,11.035524166032552
10.42.0.116,8642,10.892655630469518
10.42.0.116,8732,10.486101585949955
10.42.0.116,8821,10.127662470434167
10.42.0.116,8911,9.985924347409313
10.42.0.116,8987,11.853954160994777
10.42.0.116,9039,11.914253819159077
10.42.0.116,9109,11.669897276181748
10.42.0.116,9215,10.135678051137146
10.42.0.116,9303,10.442182192044042
10.42.0.116,9391,10.426206953596427
10.42.0.116,9481,10.3388882544991
10.42.0.116,9571,10.255052223990228
10.42.0.116,9660,10.198881862566179
10.42.0.116,9747,11.10692940417531
10.42.0.116,9837,12.485119905656605
10.42.0.116,9926,12.642002427082636
10.42.0.116,10016,12.486792978401407
10.42.0.118,4796,14.092538929262385
10.42.0.118,4875,10.59836879409156
10.42.0.118,4952,9.808406538493404
10.42.0.118,5022,9.830499495510525
10.42.0.118,5063,9.885063134625758
10.42.0.118,5094,9.925485646194621
10.42.0.118,5171,10.226356468855672
10.42.0.118,5260,10.701007343152943
10.42.0.118,5363,10.616238172231197
10.42.0.118,5454,10.267690928944823
10.42.0.118,5534,14.410567619082132
10.42.0.118,5618,10.529326958236258
10.42.0.118,5689,9.57526999203485
10.42.0.118,5771,9.534832811902334
10.42.0.118,5867,9.8194443573037
10.42.0.118,5954,10.379241925962114
10.42.0.118,6017,10.767115305436697
10.42.0.118,6061,10.758104918971414
10.42.0.118,6110,10.602589601325764
10.42.0.118,6222,9.210059242363844
10.42.0.118,6344,13.942603382112711
10.42.0.118,6427,11.364703741093818
10.42.0.118,6501,10.66800384795929
10.42.0.118,6530,10.55302409086192
10.42.0.118,6567,10.450316439683744
10.42.0.118,6606,10.331346690815066
10.42.0.118,6638,10.227815636626334
10.42.0.118,6666,10.188995320219057
10.42.0.118,6694,10.20472671892632
10.42.0.118,6714,10.239995125330022
10.42.0.118,6740,14.705564490193098
10.42.0.118,6763,13.895561372057875
10.42.0.118,6810,12.773414364065307
10.42.0.118,6854,12.104705364973281
10.42.0.118,6910,11.541540445433013
10.42.0.118,6952,11.248405812766366
10.42.0.118,7002,10.947874053243769
10.42.0.118,7051,10.51051570137544
10.42.0.118,7097,10.016932772523043
10.42.0.118,7149,9.792496830470874
10.42.0.118,7194,14.571287630554906
10.42.0.118,7251,12.079960232455932
10.42.0.118,7280,11.454238042296723
10.42.0.118,7302,11.125233467874695
10.42.0.118,7333,10.797471194202254
10.42.0.118,7379,10.494084220139502
10.42.0.118,7424,10.323525925227335
10.42.0.118,7474,10.219440024924513
10.42.0.118,7520,10.171292147771451
10.42.0.118,7577,10.167189505395449
10.42.0.118,7640,13.912476940649585
10.42.0.118,7690,12.881450160839144
10.42.0.118,7727,12.452639295967765
10.42.0.118,7750,12.267836609023828
10.42.0.118,7772,12.128671344964552
10.42.0.118,7792,12.024224963585835
10.42.0.118,7807,11.955971606548417
10.42.0.118,7820,11.892094094207845
10.42.0.118,7853,11.468787923374608
10.42.0.118,7889,10.965641199422919
10.42.0.119,4905,5.419124297435035
10.42.0.119,4958,8.098227668365952
10.42.0.119,4985,8.757639729177262
10.42.0.119,5006,9.103226945537834
10.42.0.119,5084,9.815475694133777
10.42.0.119,5179,10.07463811928876
10.42.0.119,5275,11.982597385922128
10.42.0.119,5369,11.197467072177467
10.42.0.119,5468,10.142770220285136
10.42.0.119,5574,9.947452159587453
10.42.0.119,5679,5.783969631881601
10.42.0.119,5777,9.260910271770054
10.42.0.119,5863,9.887154743033456
10.42.0.119,5951,9.717167568444578
10.42.0.119,5993,9.561105372055431
10.42.0.119,6019,9.67531106415108
10.42.0.119,6043,9.816151070284889
10.42.0.119,6128,11.018111366450029
10.42.0.119,6219,10.798298359608513
10.42.0.119,6315,10.524085135513953
10.42.0.119,6400,5.687105139808925
10.42.0.119,6493,9.561589864928123
10.42.0.119,6581,10.1650241553546
10.42.0.119,6679,9.874892800676465
10.42.0.119,6774,9.919394006865412
10.42.0.119,6871,10.005082874724803
10.42.0.119,6966,11.137285491968509
10.42.0.119,6997,11.123494415487794
10.42.0.119,7016,11.046634067802433
10.42.0.119,7048,10.919714302374532
10.42.0.119,7138,6.2462303820982
10.42.0.119,7234,9.729396679748286
10.42.0.119,7334,10.397588192174561
10.42.0.119,7422,10.49000192936599
10.42.0.119,7511,10.457486676233865
10.42.0.119,7598,10.401744175678738
10.42.0.119,7685,10.988969096795277
10.42.0.119,7761,10.251237521036987
10.42.0.119,7848,10.5393015316751
10.42.0.119,7924,10.584120638941835
10.42.0.119,7952,10.620835688429585
10.42.0.119,7975,6.797022703263481
10.42.0.119,8027,9.1734334197534
10.42.0.119,8124,9.868170992033548
10.42.0.119,8205,10.189800958527712
10.42.0.119,8294,10.279143131819898
10.42.0.119,8384,11.119800363046608
10.42.0.119,8460,10.577837121706384
10.42.0.119,8547,10.31669675796795
10.42.0.119,8625,10.84019788384497
10.42.0.119,8718,6.855618349120164
10.42.0.119,8814,10.540019366878047
10.42.0.119,8868,10.90677525345581
10.42.0.119,8886,10.958116222553281
10.42.0.119,8913,10.987725257761687
10.42.0.119,8974,10.21685438514648
10.42.0.119,9072,10.410301682218263
10.42.0.119,9149,11.197052089391704
10.42.0.119,9248,11.497776423948556
10.42.0.119,9333,11.24760269445632
10.42.0.120,3112,14.263069639165431
10.42.0.120,3152,11.086942710804466
10.42.0.120,3236,9.907595567161412
10.42.0.120,3307,9.901637186711545
10.42.0.120,3375,9.85367458837579
10.42.0.120,3448,9.07749322256866
10.42.0.120,3535,9.384131350269008
10.42.0.120,3625,9.33188301998781
10.42.0.120,3690,8.639452925759308
10.42.0.120,3744,9.03961113461527
10.42.0.120,3806,13.36593156717803
10.42.0.120,3868,10.706425243033737
10.42.0.120,3894,10.44979987531946
10.42.0.120,3919,10.315392546442242
10.42.0.120,3966,10.190510597095145
10.42.0.120,4029,10.231841272700516
10.42.0.120,4106,10.388320758486152
10.42.0.120,4213,9.401033350291813
10.42.0.120,4287,9.636431711846866
10.42.0.120,4355,9.802064610797594
10.42.0.120,4416,12.57869960451322
10.42.0.120,4485,9.442261830311587
10.42.0.120,4577,9.24968552850196
10.42.0.120,4646,9.7990182329783
10.42.0.120,4693,10.00913498275935
10.42.0.120,4713,10.032378125488982
10.42.0.120,4732,10.032973810394001
10.42.0.120,4775,10.005922689024038
10.42.0.120,4842,10.099623212308154
10.42.0.120,4934,10.3936533842196
10.42.0.120,5017,12.556594054293763
10.42.0.120,5091,9.549343853847574
10.42.0.120,5192,9.092532880442807
10.42.0.120,5255,9.50743741055289
10.42.0.120,5323,9.758028380577208
10.42.0.120,5393,9.58466225079828
10.42.0.120,5450,9.61496179219827
10.42.0.120,5498,9.999407732400957
10.42.0.120,5532,10.159961329817396
10.42.0.120,5565,10.212736147988844
10.42.0.120,5627,12.69530930504322
10.42.0.120,5702,10.461304277689718
10.42.0.120,5785,10.312817124939873
10.42.0.120,5869,10.37111262330468
10.42.0.120,5950,9.476029374220877
10.42.0.120,6027,9.753655165104691
10.42.0.120,6094,9.715950913706282
10.42.0.120,6206,9.016811460330572
10.42.0.120,6264,9.507826082505064
10.42.0.120,6336,9.880946214920451
10.42.0.120,6371,14.042077411512183
10.42.0.120,6395,12.030625258761255
10.42.0.120,6421,11.142756262427016
10.42.0.120,6485,10.73741962015897
10.42.0.120,6596,10.949277784108627
10.42.0.120,6680,10.891063059291453
10.42.0.120,6764,10.00674169044914
10.42.0.120,6838,10.320427239785554
10.42.0.120,6915,10.285090404166613
10.42.0.120,7010,9.343699835367076
10.42.0.121,4510,5.823171852405736
10.42.0.121,4607,9.310820677411105
10.42.0.121,4705,9.406477129548458
10.42.0.121,4802,10.096112095367245
10.42.0.121,4904,10.134348927975523
10.42.0.121,5009,10.272676228949361
