ip,round,value
10.42.0.120,708,7.893884170660378
10.42.0.120,731,8.005517374754008
10.42.0.120,743,8.11013228639849
10.42.0.120,756,8.234232015911205
10.42.0.120,779,11.406228981713864
10.42.0.120,814,9.12284906001521
10.42.0.120,853,8.640145605998152
10.42.0.120,892,8.49539356617063
10.42.0.120,931,8.428747584517943
10.42.0.120,968,8.395269126463878
10.42.0.120,1009,8.433162115725306
10.42.0.120,1059,7.946209970501967
10.42.0.120,1111,8.117056504200878
10.42.0.120,1157,13.270380179971923
10.42.0.120,1178,11.050858416903136
10.42.0.120,1189,10.364629324588565
10.42.0.120,1202,9.764233698052298
10.42.0.120,1218,9.25968046538034
10.42.0.120,1247,8.767743786541082
10.42.0.120,1276,8.57123499670692
10.42.0.120,1307,8.47738888775955
10.42.0.120,1336,8.358870975846255
10.42.0.120,1366,8.315820339344349
10.42.0.121,2,5.05
10.42.0.121,43,6.884763565319124
10.42.0.121,83,7.965257138530151
10.42.0.121,129,8.459442502497998
10.42.0.121,170,8.57100702494669
10.42.0.121,217,8.94437260685536
10.42.0.121,262,9.35138526121279
10.42.0.121,285,9.460806199520354
10.42.0.121,299,5.345952217349371
10.42.0.121,314,6.397964448292623
10.42.0.121,347,7.754825269170552
10.42.0.121,385,7.67616675649829
10.42.0.121,428,8.098537363784052
10.42.0.121,471,8.631869267973226
10.42.0.121,514,8.762864298955947
10.42.0.121,554,8.800566831018799
10.42.0.121,596,8.644751000830626
10.42.0.121,635,8.554140007949842
10.42.0.121,679,5.550673304336484
10.42.0.121,726,7.741653870703099
10.42.0.121,753,8.238371105644209
10.42.0.121,768,8.382007099046922
10.42.0.121,783,8.470155134090001
10.42.0.121,814,7.940938375622701
10.42.0.121,855,7.830022117602399
10.42.0.121,895,8.254005986581982
10.42.0.121,948,8.755322171252654
10.42.0.121,994,8.864287486795229
10.42.0.121,1039,5.957588135347195
10.42.0.121,1086,7.638925179840639
10.42.0.121,1134,8.210253905503956
10.42.0.121,1189,8.791475478850229
10.42.0.121,1243,9.270564210826917
10.42.0.121,1274,9.326024631363955
10.42.0.121,1288,9.319402649630943
10.42.0.121,1302,8.865194779898921
10.42.0.121,1338,8.452397720794407
10.42.0.121,1392,8.30229421271226
10.42.0.121,1441,5.964374182263196
10.42.0.121,1489,7.475896538822209
10.42.0.121,1537,8.113413110819309
10.42.0.121,1583,8.578041617069463
10.42.0.121,1634,8.579536906927476
10.42.0.121,1685,8.492691510547301
10.42.0.121,1733,8.506647246892031
10.42.0.121,1781,8.316634619614081
10.42.0.121,1803,8.400044585526462
10.42.0.121,1820,8.414059815523503
10.42.0.123,15,5.066957152008261
10.42.0.123,67,6.240307179083223
10.42.0.123,124,7.3522095007472315
10.42.0.123,183,7.9174784758277115
10.42.0.123,241,8.234294576764546
10.42.0.123,285,5.238853588692138
10.42.0.123,311,6.310149762372074
10.42.0.123,338,7.139884973924814
10.42.0.123,370,7.8166678061079224
10.42.0.123,430,7.399138507517881
10.42.0.123,497,7.732746340402351
10.42.0.123,562,7.935778548716836
10.42.0.123,615,8.082183833286061
10.42.0.123,670,8.326032500278808
10.42.0.123,724,8.635943711694305
10.42.0.123,776,5.502492639479573
10.42.0.123,838,7.5021649910563655
10.42.0.123,914,7.314431569362889
10.42.0.123,980,7.507292104168813
10.42.0.123,1008,7.6374783087824145
10.42.0.123,1037,7.75729831311072
10.42.0.123,1078,7.890688422765394
10.42.0.123,1163,8.044283350086475
10.42.0.123,1267,8.109220362664283
10.42.0.123,1362,8.176845361745604
10.42.0.123,1443,5.677914675026956
10.42.0.123,1522,8.02650997795819
10.42.0.123,1605,7.450098498411126
10.42.0.123,1685,7.829168998978692
10.42.0.123,1768,8.310065787888716
10.42.0.123,1847,8.521975555501907
10.42.0.123,1920,8.603134176076898
10.42.0.123,1951,8.6201574126896
10.42.0.123,1982,8.610661303473435
10.42.0.123,2029,8.574785508051708
10.42.0.123,2124,5.759589092344978
10.42.0.123,2203,7.8460658762120525
10.42.0.123,2275,6.902477637046295
10.42.0.123,2341,7.166160229196135
10.42.0.123,2403,7.546557631197455
10.42.0.123,2461,7.8471504326208255
10.42.0.123,2516,8.072497982400833
10.42.0.123,2571,8.286180108033495
10.42.0.123,2620,8.360040368867827
10.42.0.123,2661,8.37080506883707
10.42.0.123,2684,5.1488799093894375
10.42.0.123,2710,6.098555951846653
10.42.0.123,2753,7.423192168353826
